INPUT:story_a	INPUT:story_b	INPUT:ending_a	INPUT:ending_b	INPUT:system_a	INPUT:system_b	INPUT:content_plan_id	OUTPUT:category	GOLDEN:category	HINT:text	HINT:default_language	ASSIGNMENT:task_id	ASSIGNMENT:worker_id	ASSIGNMENT:started
It had been one of those typical days. Joe was running his usual rounds around the station, keeping the rest of his team happy and busy. Rochelle had been working in the food department. They were sitting in their usual table in the canteen with a few other crew members. Joe, wearing his usual fedora, was reading a book while Rochelle was drinking her usual coffee. Joe's attention was drawn to an announcement on the PA system.	The two young women had just finished working at the local factory and were walking back to their respective homes, when they were approached by a strange man named Joe. He asked for Rochelle, and she obliged him by walking up to the car to be driven away by the man. The two women arrived home to find their house locked and an intruder in the house. Rochelle and Joe ran outside and discovered that the intruder was Joe. They began fighting until the police arrived and shot Joe.	A small group of humans and alien crewmates have become trapped within the station. They are all fighting for their lives.	Rochelle and her mother arrived back at their home and discovered her mother had been shot to death and that her father had been killed. The family was very upset.	nsp	ppl	36	2				2bfb83d3-9776-413e-be52-b490f295665d	a1aaa6742c611a88096a5a9def225538	2022-03-05T02:46:23.330
Jose and Dorothy are traveling by train through Portugal, and Jose discovers he is able to travel through time with a little help from his cthulu companion. Jose and the cthulix find themselves in the year 1892. They are in Lisbon, which is now the capital city of Portugal.	The town of Lisbon is being slowly devoured by cthulu, the greatest creature to have ever walked this earth. When Jose, an American reporter, goes into Lisbon to find out why so many are being afflicted with the terrible sickness, he discovers that it has begun to spread around the world, from Europe to the Middle East, Africa, and even the South Pacific Islands. But he can't tell them anything about this terrible creature because it's impossible to kill.	There is not a single living thing in this city.	The end. It was over. The end. The world was gone.	nsp	random	18	2				b5831eac-8700-4767-a212-8ef2c2452b51	09972a525822676dca9011346aa4af26	2022-03-05T02:46:23.096
In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, the three of them had a very good chat. And there was a tear. Then, they went on their way. The whole night was a real party.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	nsp	ppl	28	2				496b68f7-53c3-417c-9a69-48c54070b60d	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T02:46:27.426
In the spring of 1970, George Jones' wife Jane died, and George sought employment in the construction field. He was hired by a contractor named Richard Wurtzel, who had a project in the works for the state. The state needed to build an office building, so Wurtlzle proposed the Joneses would build a state office building on their land. The construction site for the project was a field west of George's house.	George Jones and his wife Jane decided to start a business, called The Key. They decided to give their business to their sons, David and John. In doing so, the boys, who were in high school, were the ones that started the company and George Jones was the chief financial officer. George's business had started out small, but eventually grew and George was the only one at the company that wasn't an entrepreneur. In the beginning, the Joneses were making $50 a week.	They built it, and they had a great deal of problems with it. So they got rid of it.	In the last part, there's a big fight. The boys take the business and run. After running the business for a while, they decide to go home and go to bed. They never come back.	ppl	random	23	1				a91c95f5-2ce4-4380-9629-6ecd17c12188	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:46:29.918
It was a beautiful day. The sun was shining, the sky was clear and warm, the water was sparkling and the birds were singing, as it had been for the past weeks, and there was no one else in the world except Peter Hagan and Evelynn. Peter was a quiet man, but he was strong. The day's work was done and it was time for a nap in his own living room. He woke up, looked around, and smiled.	"In the first season of the television series, a young man named Peter Hagan is chosen as the new pilot for the legendary Dangerous Space Station"" and is forced to live on board the ship for a year as a security guard. The show's most popular character is its captain, Evelyn, a blonde, red-eyed woman with green eyes and short hair."	And Peter woke up and he felt that he was still alive.	When the ship takes a hit, it's not just Peter. All the people aboard are killed.	random	nsp	46	2				75fba1f6-eae6-4750-81e2-f352f63f519b	09972a525822676dca9011346aa4af26	2022-03-05T02:46:48.535
"John and Anna are friends, and John has a good job with a prestigious corporation. Anna wants to go to Harvard University to be a lawyer, but she has a problem, she needs to go on dates. ""It is a typical day for them. After work, they walk on a busy street to the train station and spend the next few hours waiting in a packed train for a date. However, on that day John realizes that he is in love with Anna. He asks her out."	John Smith and his wife Anna Jones are the most famous of New York's super-powered citizens. When they become aware that a young man, John Smith Jr., is a mutant, they send the son of the first of their number to find him and convince him to come back to New York as a human. Unfortunately, John's wife Anna has another son. The second son is called Jack.	He's a romantic. So what if he can't kiss her back.	A new family, born of love, comes to New Orleans with a new identity, with new hopes and dreams for their new life.	nsp	random	38	2				1df71ec4-c283-408d-bd0e-9c2e94023337	a1a9a759d662177be801130ab8bd8db7	2022-03-05T02:47:01.691
It all began with the idea that Michael and his friend Maeve need more friends. Michael's grandfather had recently passed away and he needed to find a friend to fill the void. Unfortunately Michael's old friend Maevis is the type who doesn't get along with others and she won't even go with Michael to school. Maevis has been in the past when Michael had needed someone to go with. But that wasn't the worst of it because Maevis also doesn't have a boyfriend.	Michael Michael's parents have been missing for years, and when Michael hears a rumor about an old friend, he decides to go look for him. He soon meets Maeve, a beautiful girl who reminds him of his mother. A little misunderstanding soon leads to a huge misunderstanding. Michael Michael learns that the whole world needs more heroes, and he decides that he has a lot of them. But he can't stop fighting for them.	Michael and Maeve became best friends, and the rest of their lives were filled with friendship and love.	A man can be so strong that when he gets hit, it hurts more than the blow himself took.	ppl	nsp	37	1				ebd7cf86-de76-45d7-b013-18241859b387	17ade270184d61a940f7107da74cf70d	2022-03-05T02:47:04.769
The two are walking through Majuro and are passing a shrine of an ancient goddess. They are approached by an elderly woman who tells them that a man and a woman who worshipped her long ago left this shrine and asked her to give them a blessing. After this, the two are asked by Naoifu to help a girl and a boy who are lost in a mysterious forest. They meet a dog named Fuzoku, who is able to find them.	The two sisters, Naoise and Naoisi, and Naito are orphans who were raised in the slums of Majuro by their abusive father. However, when they are forced to leave their father's home, they are welcomed by the inhabitants of the new village of Ucetarou, where they live until the war ends. When they are given a place of their own, they start to enjoy their life in Ucettaru.	In the end, when the two arrive at the destination, they are met by two spirits who guide them to the place of the boy and the girl.	There is a river in the middle of the world. It runs east to west.	ppl	nsp	5	1				1c3659c0-65e3-457a-8a0f-67a78dabac7b	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:47:10.817
In the early 1990s, Cheryl and John found themselves moving into a house owned by their old college friend, Alameda resident John. On their very first evening, their new housemates made an unannounced visit to the front door, where they found John's former housemate, a young woman, asleep on the sofa. The housemates were surprised by the presence of another housemate on the living room couch. That housemate had been the subject of several earlier incidents.	John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job.	A new kind of loneliness has fallen over us, the kind that is a thousand years old.	On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	random	ppl	2	1				c6cf2c17-3fae-463d-b364-6c4e60eaa876	09972a525822676dca9011346aa4af26	2022-03-05T02:47:18.390
A real-time thriller in which a boy, Praveena, and her best friend Durga are abducted by a real life monster, and brought to a remote island. There they must live among a few other survivors, and fight to survive. They are forced to fight back the monster's attacks by learning to fight in real time with their bodies and weapons. The boy and her friend Prahalad are forced into a life of extreme physical and mental challenge by the island's cruel inhabitants.	The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga.	What will become of her? What will become, of him? They are both trapped with only each other, fighting with one another.	Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	random	ppl	32	1				eafb40cc-5a1f-4faf-bd9b-eda5f672dac4	d27902f8b22c985ac8b9eee0bb21e0fe	2022-03-05T02:47:29.931
Mingna and Vipinn have a wonderful family reunion on the island of Cochin. The reunion has a positive outcome but Vipi, who was feeling down and depressed, falls in love with an old acquaintance of his, Vipul Kumar. Vipim and Minga's happiness is short lived when the news comes in that the island is being attacked by the evil spirit.	When a young man named Vipind Kumar and a girl named Mingna visit the temple town of Kollur in Kerala, they meet a mysterious man named Baju. Together with the man's granddaughter, a young woman named Minga, the two travel to the remote jungles to collect plants and plant them in their garden. The two have some problems, however, when a group of thieves break in and steal everything they have.	What is that place on the horizon? It's the End of the World.	When the flowers wilt, that is the time for the rains to come.	nsp	random	27	1				2dea12b6-601c-4858-9104-d681914d061d	09972a525822676dca9011346aa4af26	2022-03-05T02:47:39.160
When the O'Briens move to a small town in Texas, they find a mysterious alien artifact that gives them the power to control a dog. However, when Michael Michael discovers that his new pet is a dangerous psychopath, he becomes obsessed with trying to destroy the creature. Jane's love for the dog drives her to try and find a way to keep it from attacking her.	Michael Michael's parents have been missing for two years. His sister Jane, who lives with her parents, was murdered when she was twelve years old. She was found in a wooded area and badly beaten. Her parents have not been heard from since. When Michael Michael was twelve, his father, Michael, got himself arrested for murder. Two years later, the police discovered that he had been using Michael Michael as a living breathing test subject for his experiments.	He's not an evil creature, he's a hero.	A man is about to go on trial for a crime he didn't commit.	random	ppl	40	1				e1467ee3-e8fe-4b8f-8f68-c2422e50d08b	8c623f044db5d2702e2df54826bca331	2022-03-05T02:47:41.689
A real-time thriller in which a boy, Praveena, and her best friend Durga are abducted by a real life monster, and brought to a remote island. There they must live among a few other survivors, and fight to survive. They are forced to fight back the monster's attacks by learning to fight in real time with their bodies and weapons. The boy and her friend Prahalad are forced into a life of extreme physical and mental challenge by the island's cruel inhabitants.	The monster Praveena is a little girl living in the forest of Kerala in India. Praveenne and her family were attacked by a monster, who was an exact copy of her. The family's only hope is to bring her back to life. The monster had no memory of its past life, only of Praveene and her. She is now in the hospital. She has a strong bond with her pet cat, who is a doll. The cat's name is Durga.	What will become of her? What will become, of him? They are both trapped with only each other, fighting with one another.	Durga has been taken away from Praveen and her mother. Durga is the only hope the family has of returning her to her original body.	random	ppl	32	2				eafb40cc-5a1f-4faf-bd9b-eda5f672dac4	a1aaa6742c611a88096a5a9def225538	2022-03-05T02:47:53.137
"A young woman in her thirties named Samantha is a self-proclaimed genius."" After hearing that a new man could see through things she couldn't, she decides to see if he could do so for her too. But as Benjamin Franklin begins to help her, his own problems get in the way, and a series of surprising events threatens to reveal to her the depths of her abilities."	Benjamin Franklin and his sister Samantha Franklin were a wealthy young man from the time of the American Revolution when they were living in New Hampshire. They were in New Orleans on the night of September 14, 1774 when the British burned the city and Benjamin Franklin was among the first to escape to safety. He was able to escape because he had an understanding with Samuel Hopkinson, the owner of a bar in New Haven, Connecticut.	She finds that, as she sees it, she's the genius and that his inability to see it for her is his greatest fault.	Benjamin Franklin was an adventurer who made a name for himself across the Atlantic. He wrote about his adventures in his diary.	nsp	ppl	34	1				4928a6b4-8089-48e5-ad30-e7d4f2a31748	09972a525822676dca9011346aa4af26	2022-03-05T02:48:03.229
John H. is a retired US Air Force Captain in civilian life and a respected veteran of the Vietnam war. He and his wife, Berta, have a daughter and a grandson, whom he and Bertan have raised to believe that Earth is the only home in the galaxy. But now the young people of South Sudan are rising up against a dictator and his repressive army. John and Bertal go to South Sudan to try to stop them.	The crew of the Enterprise, a Federation ship, is en route to a far-flung colony world when a distress call comes in from a group of five people aboard the space vessel. The captain is John H Roberts, a young man with a heart condition, and his first officer is Berta Lang, a woman with a troubled past.	The world is coming to an end. A new day has dawned. It is time to fight.	It was the end. It was the beginning.	ppl	random	10	1				29cc4529-fce0-46b3-8f9e-4e48284e5f35	a1a9a759d662177be801130ab8bd8db7	2022-03-05T02:48:06.067
Batman and Linda are enjoying a weekend away from the police department when something awakens in them. They suddenly see a dark, menacing, monstrous presence creeping across their home, and the terror deepens when it appears to be stalking them. It is a figure from the darkness in the woods that was stalking Batman's parents in the 1940s, but this is an entirely different creature.	"Batman, in the guise of a homeless man, is attacked by a crazed woman named Linda Green. As Linda fights Batman, his identity is exposed. Batman and the other heroes rush to her aid and Linda uses a special power to summon a mysterious and powerful creature from the sea called the sea monster."" The sea monster emerges from the water and attacks Batman, and Batman is forced to call upon his friends. When the heroes arrive, the sea monster appears and defeats them."	They walked toward the house. The figure loomed over them. Linda heard him growl.	The heroes and the sea creature have a battle. Batman has no choice but to sacrifice his life to destroy the sea thing. Meanwhile, Linda is taken to the asylum where her friends are waiting.	nsp	ppl	31	2				460eaafd-d3ac-4e43-a333-750b985b1115	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T02:48:10.872
David Pines was a handsome young man in his mid-twenties. He had a beautiful wife, Gina Miller. He was a very successful software entrepreneur and he was well-known for his philanthropy. He and Gina were living in San Mateo County, California. The day before David's death, Gina called home to tell him she had something she had to tell David. After she hung up, Gina went to the garage to get something to read to David.	The two friends were walking down the beach when David asked Gina if she'd like to go back to the restaurant he was having. After she said yes, she thought he was joking. He said he'd buy her a drink and a kiss. After leaving the restaurant, David and Gina got into an argument and David left her at the beach. When Gina came back, he was waiting for her at her car. She opened the door and David shoved her out and ran off.	The last time she saw him, he had a deep gash on the side of his head that looked like a gunshot wound.	In the end, David's actions leave her stranded and alone.	ppl	random	17	1				c4c85c32-8b84-4d29-b5ea-1eb29d2d5393	8c623f044db5d2702e2df54826bca331	2022-03-05T02:48:32.355
A year after a tornado destroyed their home in the town of Greenhills, a mother and son team find themselves at a crossroads. John must find a way to keep his son from becoming an outcast, while Minnie must find out the truth about her father's involvement in the tragedy. With the help of a detective and an FBI agent, they must come to terms with their own demons, and try to put this terrible tragedy behind them. The end always justified the means.	John is in love with Minnie, and is determined to marry her, despite being unable to speak a word of Chinese. Minnie loves John, and also wants to get married. Their father disapproves of their relationship, and they argue often. John is not allowed to visit Minnie's home or to visit her parents, but he secretly does so.	That's when the wheels came off, and the whole thing collapsed.	John and Minnie marry. They live happily ever after.	nsp	ppl	9	2				7be9199e-344e-42c9-93a9-b75ffce99870	09972a525822676dca9011346aa4af26	2022-03-05T02:48:35.092
When Jose and his wife, Dorothy, were in Lisbon, Portugal, it was a happy time in their lives. They had a great job in a bank, an expensive house, and a beautiful family. They were living the life that every family with a little money could dream of. Jose was working as a high school teacher, and Dorothy was a dental hygienist. When Jose's job ended, he found himself unemployed and without a job.	After he was kicked out of school, Jose was forced to spend his days on the streets. When he met Dorothy, she was a street-smart young lady who had a passion for writing and was determined to make a good living. While she worked long hours at a local factory, Jose took care of the house and took care to provide food for her and her two children. When Dorothy decided to leave town, Jose tried to help her and the kids with the situation.	The man who has no work is the man who does not work.	She's in a strange part of town with a man she doesn't trust.	nsp	random	8	2				6eec161a-a67c-49f9-aa98-209e3d853f5f	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:48:44.074
It was a beautiful day. The sun was shining, the sky was clear and warm, the water was sparkling and the birds were singing, as it had been for the past weeks, and there was no one else in the world except Peter Hagan and Evelynn. Peter was a quiet man, but he was strong. The day's work was done and it was time for a nap in his own living room. He woke up, looked around, and smiled.	"In the first season of the television series, a young man named Peter Hagan is chosen as the new pilot for the legendary Dangerous Space Station"" and is forced to live on board the ship for a year as a security guard. The show's most popular character is its captain, Evelyn, a blonde, red-eyed woman with green eyes and short hair."	And Peter woke up and he felt that he was still alive.	When the ship takes a hit, it's not just Peter. All the people aboard are killed.	random	nsp	46	2				75fba1f6-eae6-4750-81e2-f352f63f519b	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:48:48.765
In late December, Polly's mother is taken ill. Her husband, Joe Smith, heads up the ship on a mission to find a cure and, when he doesn't return, the Captain makes a call to Polly. On the phone, Polly tells him that the ship has had a problem with its rudder since the morning and that there was no sign of Joe, that she was only able to reach him through his watch, which had been locked in his cabin.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	He was found on deck, his face in the snow. The captain had been forced to take her own life.	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	random	ppl	29	1				dbbfdf6b-5357-4505-aab5-7d7e6d4a2719	09972a525822676dca9011346aa4af26	2022-03-05T02:48:59.511
Jose and Dorothy are traveling by train through Portugal, and Jose discovers he is able to travel through time with a little help from his cthulu companion. Jose and the cthulix find themselves in the year 1892. They are in Lisbon, which is now the capital city of Portugal.	The town of Lisbon is being slowly devoured by cthulu, the greatest creature to have ever walked this earth. When Jose, an American reporter, goes into Lisbon to find out why so many are being afflicted with the terrible sickness, he discovers that it has begun to spread around the world, from Europe to the Middle East, Africa, and even the South Pacific Islands. But he can't tell them anything about this terrible creature because it's impossible to kill.	There is not a single living thing in this city.	The end. It was over. The end. The world was gone.	nsp	random	18	1				b5831eac-8700-4767-a212-8ef2c2452b51	0d71dcaa7415070cc3073bbcd05e3240	2022-03-05T02:49:00.284
Bob and Mary are on vacation when Bob receives a disturbing letter, written in a foreign language. After returning from the beach, they decide to take a walk and find the letter. They find the man who wrote the letter, who is a Nazi scientist and a threat to the world's progress. They also find the remains of his wife, who was killed during his escape. They decide to help the man find the source of his hatred.	The two friends were sitting on a couch when Bob asked Mary if she could play an instrument and she said she could. Mary, who had been practicing every day, had a lovely voice, and she played some wonderful songs. Bob, who was a musician himself, was very impressed. He then proposed that they get together and practice together. Mary was excited about the possibility, and they spent most of their free time together in her room. They talked about the things they loved.	In a world where war and peace has come to seem almost impossible, a man must come to terms with what he has become. He cannot simply turn away, because the truth is too awful.	They had a great time. They played their favorite songs and ate ice cream. They had lots of laughs and talked about their lives and their love for each other.	nsp	ppl	0	1				d34798b9-fefa-4579-a1c7-720051a3acd3	09972a525822676dca9011346aa4af26	2022-03-05T02:49:22.333
He is a vagabond and a man of the underworld. But his path is set in motion by an enigmatic stranger who offers him a way to be in two places at once. Karl and Catherine are living in a German-like underground city called Wartburg, and it's pretty much all underground. But, when a man named Karl is born in a noble house, he quickly makes friends with the local prostitutes.	The year is 2020, and Karl, the son of an noble family who became a vagabond, and Catherine, a girl who has lost all hope of a normal life, are the only people in the world. Karl finds himself in a world where the world has become a dark, mysterious and dangerous place.	After they found a book about their future and the book had been passed around among them, they decided to stay.	What if the protagonist had never found his parents and had been killed at birth?	random	nsp	35	1				d532b3c1-3eb9-4b00-9c5a-331d32b83753	a1a9a759d662177be801130ab8bd8db7	2022-03-05T02:49:36.304
Jose and Dorothy are traveling by train through Portugal, and Jose discovers he is able to travel through time with a little help from his cthulu companion. Jose and the cthulix find themselves in the year 1892. They are in Lisbon, which is now the capital city of Portugal.	The town of Lisbon is being slowly devoured by cthulu, the greatest creature to have ever walked this earth. When Jose, an American reporter, goes into Lisbon to find out why so many are being afflicted with the terrible sickness, he discovers that it has begun to spread around the world, from Europe to the Middle East, Africa, and even the South Pacific Islands. But he can't tell them anything about this terrible creature because it's impossible to kill.	There is not a single living thing in this city.	The end. It was over. The end. The world was gone.	nsp	random	18	2				b5831eac-8700-4767-a212-8ef2c2452b51	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:49:44.742
One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	One of the most dangerous beings known to humans, Jose is a fierce, bloodthirsty dog who fights with the intention of killing his opponents. He is one of the few humans that can understand a dog's language, and has a very powerful psychic link to the world of the dogs. After years of living with Jose and fighting against all odds, Joan discovers that she is his daughter. But with the dog's power comes his wrath, and Jose is quick to kill.	She had to live with him. They had been lovers for a long time, but she had never wanted anything more than to see him dead.	When the last breath left his body, he was still alive.	ppl	random	7	1				6a4c2be5-d764-4f9f-bdb5-40e2cc77d625	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T02:49:46.278
In the early 1990s, Cheryl and John found themselves moving into a house owned by their old college friend, Alameda resident John. On their very first evening, their new housemates made an unannounced visit to the front door, where they found John's former housemate, a young woman, asleep on the sofa. The housemates were surprised by the presence of another housemate on the living room couch. That housemate had been the subject of several earlier incidents.	John and Cheryl had been divorced for years, and while the divorce was final, there were still legal problems. John had bought a house in a nice part of town, and now, as it was approaching its five-year anniversary, his friends began asking questions about the house. The house was nice, and had nice rooms and a pool and all that. But the people who lived there had some problems. They lived with their mother and her family of five, with no money and no job.	A new kind of loneliness has fallen over us, the kind that is a thousand years old.	On the first day of the week of September, 1995, John and his friends got in their cars and drove back to the house they had been renting in the woods.	random	ppl	2	1				c6cf2c17-3fae-463d-b364-6c4e60eaa876	d27902f8b22c985ac8b9eee0bb21e0fe	2022-03-05T02:49:50.172
In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In an early morning, the Portuguese police officers were looking for the missing Luiz and Jose. They were in a hurry to arrest them and take them to jail. They found the two men and a woman, who was waiting for them in the street. They didn't know her, but she was Jose's girlfriend and they were both waiting in the waiting room to take them there. She was so nervous and nervous that she was sweating and her eyes were watering.	In the end, the three of them had a very good chat. And there was a tear. Then, they went on their way. The whole night was a real party.	And it was a lovely day, sunny and warm. And they were on their way home and Jose and Luiz were on the side of the road.	nsp	ppl	28	1				496b68f7-53c3-417c-9a69-48c54070b60d	8c623f044db5d2702e2df54826bca331	2022-03-05T02:50:22.071
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	It was a bit like The Sound of Music in space!	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	nsp	ppl	29	1				fec1631b-c3d2-4e55-996f-8a1e5a2d2c37	09972a525822676dca9011346aa4af26	2022-03-05T02:50:23.312
Mark's sister had died when he was three, so he had always been the head of the family. Now that he is eighteen, he's going to college, working for the school newspaper, and has finally found a girlfriend he can live with. He gets a phone call from his ex-girlfriend, Alicia, who says she has been in an accident, and it's going back to court on the day before the trial.	The only reason Mark Smith made it through his whole life without killing himself was because he was able to be in two places at the same time. Mark Smith was the last of his kind, the last living survivor of the original colony, the world-famous planet Earth. In his new life, Mark Smith has been living in California. He works in a restaurant, runs a small business and tries to enjoy life.	Alicia's accident had the effect of turning Mark into a better person.	It was a perfect day. Perfect for a murder.	nsp	random	25	1				bdac29c7-7707-4552-8af8-9e4803ca040b	a1aaa6742c611a88096a5a9def225538	2022-03-05T02:50:28.485
A young girl in the year 2030 wakes up one morning to find herself transported to the year 1985. When she gets to the present day she meets William John, a man who claims to be a vampire. William John offers her the chance to join him on a journey into a world of crime. The young girl, Eileen, joins William John's quest to become a vampire hunter and learns about life in a world where humans are considered the only thing to fear.	In 2054, William John, a successful businessman in Belfast, has decided to leave his life of luxury to spend the rest of his days as a wanderer. Eileen, the mother of his two children, is still trying to adjust to life in the modern world and has become convinced that the only reason she is getting old is because of her own sins.	Eileen became a vampire, which was a step down for her. It meant she had to work for money, and she had no time to think about what her life would be like if she didn't become one.	It is a tale of despair and survival, of a lonely man who becomes something more than the sum of his regrets.	ppl	random	41	2				7ba5361b-27bc-4fa4-af70-afb1abb71167	ade066e604e93b213e44e3030eef7f39	2022-03-05T02:50:37.221
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	She'll save the universe and she'll save all of mankind!	The Bishop family has made their decision. They are ready to travel into the future.	random	nsp	11	1				e2d5968c-297c-4dae-8a22-aaca94298401	09972a525822676dca9011346aa4af26	2022-03-05T02:50:43.734
John Smith Jr is a small town boy who is trying to figure out a place for himself. He is the youngest son of an abusive alcoholic who is in his early 20s. John Smith Jr spends most of his time with his mother who is his step-father's sister. John spends his time playing in the woods with his dog. While in the town, he meets Tasha. Tasha is his cousin's daughter who is the oldest child in the house.	It's a warm, beautiful day in the American Southwest. The sun is shining, and the trees are bursting with color. The air is crisp, and there's a mild breeze blowing. The birds are chirping, and everything seems peaceful. It's just the perfect day for a romantic stroll by the water. John Smith, Sr, has spent the last six months in T.O. preparing his family to celebrate his upcoming wedding to his long time sweetheart Tasha.	They said the only way they could be together was to kill themselves, but Tasha said she couldn't, because she had no place to go.	It's a beautiful, bright sunny day in Taos.	ppl	random	45	1				ec6d1248-7ff8-4162-bd3a-0252726d7f12	f6060b20bed5315f6a9db3a8e7baf0f9	2022-03-05T02:50:49.681
"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	"The time travel technology that the Bishop family is developing could save the world. Sister Benjamin is an engineer. She is a leader and a visionary in Washo County. ""She's a woman of action. She will not be held back."" Brother Benjamin is a scientist, who is also a member of the Church of the Flying Spaghetti Monster. ""He's a man of science and a scientist. He's not afraid to try new things."	She'll save the universe and she'll save all of mankind!	The Bishop family has made their decision. They are ready to travel into the future.	random	nsp	11	2				e2d5968c-297c-4dae-8a22-aaca94298401	8e4eb6f01370b0084794766ad8a43198	2022-03-05T02:50:49.169
Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	Joe and Polly are on board ship when they are summoned for a meeting of a company with a mission of world wide expansion. They are asked to help to establish a new production site in the south-west of Australia. This project is a joint venture between a company in the US and the Australian company. The company has chosen Polly as the production manager and Joe as the project manager and they are to be joined by a young Australian engineer.	It was a bit like The Sound of Music in space!	Polly and Joe find themselves faced with a complex problem that is not easily solved by traditional methods. As they begin to investigate and solve the problem they will face a number of challenges that they have never encountered before.	nsp	ppl	29	2				fec1631b-c3d2-4e55-996f-8a1e5a2d2c37	8c623f044db5d2702e2df54826bca331	2022-03-05T02:51:00.861
