genre,theme,location,actor,actress,story,ending
novel for kids,The girl who loves the sun.,Fulford County,Tom,Dee Diggs,"Tom and Dee were so thrilled when they found the perfect place for their daughter to live that they gave their old house to her. But one day the old lady comes in to pick it up and it turns out to be a haunted house. When Tom and Dana discover the secret they are forced to escape the house and escape with Dana to get rid of the ghosts in a car. They learn that it's been the curse of the house all along, but can they escape before it gets too late.","The next morning, they were gone.
Tom was lying in a ditch beside his old house.
Dee, still alive, lay dying on the sidewalk."
haunt,The dead never know the meaning of life.,Dalmani,Eddy,Dalmena,"As the year ended, the night began to get colder and colder. The sun was still shining bright on the mountains, but the sky was a sea of pitch black and dark. Dalmenas' heart was not in it, his spirit just wasn't there to go out and dance the night away, but Eddy's spirit was. He'd never been to a wedding with a girl. He had no reason to be nervous.","The sun set, the moon rose, and the night was gone."
the dark forest,The first step in the way was an unassuming forest path,Northwest Territories,James T. Allen,Tanya,"James T. and his wife Tanya had an uneventful childhood. When they were young, their mother and father were killed, leaving James alone and vulnerable. A few years later, James moved to the small North Eastern town of Haines. When the couple started their relationship, Tanya didn't believe it was serious, and James didn't want to give up on her. However, their relationship gradually grew to be more and more serious.","James is the first to realize the relationship he has with his wife is not normal. He knows his life is on a much more serious scale, but he is unable to let her go because of a belief in his wife and love for her."
aeroplane,"The pilot, as a rule, always takes the shortest route home.",Yukon,Erik,Fiona,"The Yukon has long been a quiet backwater with a small population and few industries. But Erik has dreams of the country's glory, and the prospect of finding a rich partner for a commercial venture in the remote desert town of Eagle Pass makes the idea exciting. After an accident at a construction site leaves him unable to fly, he and Fiona decide to head back to Eagle Pass, in hopes of making a fresh start in their lives.","A lot of people have said that in the future, it'll be the only place on Earth where one can fly,"
bodyscapes,What's the difference between a real-life monster and a cartoon monster?,San Francisco,John Smith,Ruth,"John Smith was a typical young man who fell in love with Ruth and their lives were forever changed when John's best friend, Frank, died from cancer. Now, the two of them have become inseparable. It is during their daily walks that they come across a creature from their childhood dreams, the terrifying creature known as the Bodyscape.
Ascended from the depths of the Bodisland. Created by the ancient and powerful god, Bodis.","After the Bodizcart's death, John and Ruth decided that their best chance of protecting themselves was to get to the top of a tower and hide there."
scifi,There's not a person that could get through a fight with a dog.,California,Tom,Jane,"They walked down the street, and it was the same day. The same house and the same car. It wasn't the same at all. The dog was dead. They didn't know how the dog was killed. There was an open garage door that led out, but when they tried to go out it wouldn't open.
Tom and Jane are talking on the phone about something. Tom is going to be at a job interview tomorrow. Jane has a friend's wedding.","Tom and Joe and Jane and their dog were on the sidewalk waiting for the dog to come back in to the house. The cat, which had wandered into the house, was on the kitchen floor."
mystery,The world of the imagination is the world of fantasy.,New York City,Joe,Jane,"A year after the disappearance of their son, a woman named Jane, a nurse, is hired by the mysterious Mr. T. She is asked by the police to help them solve the murder of Joe, a man she has been seeing on and off for the past few years. It is here that Jane meets and falls in love with Joe's former lover, Mr. H. Joe is a talented and successful photographer but he's had an increasingly difficult time making a living.",There were times when he had no money. He had no hope in a future for himself. And for her it had been no better.
novel for kids,"A novel for children, with illustrations that are either realistic or imaginative,",Gotham,Jason Todd,Candy's Cat,"Jason Todd is a young hero whose adventures take him across Gotham, into the world of his greatest fears and fears. When a crime wave sweeps the city, Jason's best friend, Candy's cat, comes to him in a dream. The dream brings him to the place of the mysterious Catwoman. But as they travel together to confront the evil that rules Gotham, they will learn that not all is as it seems in Gotham City!","After defeating Batman, Jason returns to his old neighborhood, and his cat is nowhere to be seen."
empathy,"He was a tall, thin man with glasses, who had a dark complexion and a full head of hair.",Majuro,Yoshiro,Bryanna,"In Majuro, a small city in the central highlands of the country, where a large number of students attend the public school, there's a girl called Yoshiro. She was a normal high school girl, who loved to read, listen to music and watch the weather. One day, the girl saw a young man dressed in black and wearing a hoodie, who appeared to be carrying a large bag.","As he got off the train, he turned to Yoshino and Bryann, and said, "
aeroplane,Aircraft engines don't have to break on the way down.,North Queensland,John,Jade,"In October 1980, John and his brother, Jamie, were flying over North Queensland in their private Piper Arrow (a Cessna 206B-1). They had been invited to fly over the area by John's friend, Bob Williams. They were flying a night flight of four hours. A sudden gust of wind sent Jamie into a spin, and he ended up upside down on the ground.","The only thing that made it better was that John's father, George, was sitting next to him."
the dark forest,"When the sun goes down, there is only one thing that can be done. Kill the sun.",Kathmandu,Ivan,Nita,"The day of the eclipse, Ivan and the boys were sleeping on the floor of Nita's room. When the sun began to set, the two boys heard an explosion and realized that they were under attack by a swarm of bees, which were attacking them from all sides. They fought back, but in the chaos of the battle, the boys got knocked out and were unable to wake up. They were eventually discovered by a passing car and brought back to the house.",The sun goes up...and the sun never goes down.
scifi,It's just a few minutes of space travel. They've never had to deal with this before.,Palo Alto,Herman Smith,Alice,"A man and a woman are forced to travel to a distant planet, a strange, hostile environment. There they discover the only other inhabitant of this world is a man they've never met. The man, who looks like a cross between the main character of The Outer Limits and a late 20th century James Bond, is Herman Smith. He's an engineer from the future, who has been stranded in the past for some reason. He and Alice (the main character)","They were going to spend the rest of their lives together, until they got stuck in the middle of space."
aeroplane,They can land a plane safely.,Lisbon,Jose,Dorothy,"It is 1933. In a moment of serendipity, a Portuguese airliner crashes on the Portuguese island of Terceira. The wreckage contains one body and several human organs.
The body is that of Jose, a young man who had been traveling to Lisbon, accompanied by his governess, Dorothy, who has no memories of her past. The plane is not only an airplane, but an airplane in the guise of a small plane with a propeller, a parachute, and a wing.","After their flight, they came back to the village. The villagers gave them the clothes that they had worn, and they went on their way. There was no sign of the airplane, and no trace of the body."
science-fiction,It's okay to cry,Washoe County,Ezri Miller,Tia Oke,"Tia and Ezri, along with a bunch of Washoe kids, have been trapped in a desert since the Great Flood that wiped out the first generation of humans. When their home is destroyed, Tia and her friends are left with one option—seek out a new home for themselves. With the help of an old friend and a group of strangers, they take to the skies in a bid to reach the new world.",It is a good thing Tia had been in cryosleep for so long. It wouldn't have made much sense to her if she was already dead.
the great american novel,No one is safe from the government,North Georgia,Tom,Sandra Brown,"In August of 2008, two young women, Tom and Sarah Brown, meet and fall in love during the opening days of the national recession. When the recession ends and the economy begins to rebound, the Brown sisters decide to start their lives together in the tiny, rural town of Whitehall, North Georgia. But soon, Sandra begins to suspect that her older sister might have something to do with all the problems of White Hall, especially the sudden disappearance of Tom's father.",What would the world look like if the government didn't interfere?
mystery,One day at a time.,Kathmandu,Cory,Chhavi,"One night in the middle of Nepal's winter, Cory and a friend, a local girl named Chhavivi, are walking home from a party when they're suddenly attacked by a dog, and both are seriously injured. Chhavinvi is left in a coma, but Cory manages to keep his spirit strong enough to travel to Kathmandua hospital for treatment, where he meets a young woman named Gyanendra who helps him get through the next day.",The end of the day. There's no such thing.
scifi,It is the way of the universe. One cannot be a man and a god.,South Sudan,Benjamin,Khadija,"In the distant future of 2029, a young man named Benjamin and a young woman named Khadijah set out on a journey to discover and find their mother. They come across a mysterious city, a world filled with strange creatures. This strange world is called the Unnamed World. The Unnamed City has many different worlds within it. One world is known as the Unspecified World.",One cannot be the father and mother of two.
cthulhu,The Necronomicon,Kathmandu,Ivan,Titia,"A young girl and her two sisters visit their grandparents in a small village near the Kathmanduan mountains. They are very poor and Titias is hungry. One of the sisters finds a book in their grandfather's library that reads The Book of Shadows"". The young girl, Titia, who is very clever, finds a way to read the words of the book.",It's a good thing the family was too dumb to realize how much trouble Titia was going to make for herself
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",Lisbon,Jose,Luiz Gomes,"In the summer of 1989, the two were living in the basement of a house in Lisbon. As their lives were becoming more and more intertwined, a strange relationship began to form between the two.
The relationship was one of sexual passion and sexual obsession.
Jose Gomes was a beautiful man with beautiful dreams. He loved to dream about beautiful women and beautiful things, including women and sex.","Jose, Luiz, and the other men of the house, who are all naked in the bedroom, have been together for twenty years."
thrillers,The only person who could have stopped him was the girl with the blue dress.,California,Tom,Nicky,"Tom and Nicki met on a boat trip. As soon as they met, they fell in love and they were soon married.
Tom was born on January 1, 1945, and had just graduated from high school. Nicki was born in August of 1953, and just finished high school in California. She had just turned nineteen.
Both had a lot of potential. They both went to a private school called St. Mary's.
The couple had the most beautiful children.","Tom was working in a factory, and he saw that his wife was being pressured by the factory to make some kind of big money. So he decided to leave the factory and travel the world. His destination? America."
cthulhu,the first sign of the apocalypse was the disappearance of the last of the gods,Afghanistan,Drew,Sarah,"As the group makes their way toward the mountain, Drew spots a pair of small children with the dead bodies of the dead. He tells Sarah to take the children in a van to the hospital. The group begins to follow the van, and Sarah notices the car is not the one she saw earlier. It is the car from her dreams. She calls out for Drew, and he answers. He is on the ground, dead from being shot.","The road to the mountain has been taken. The town is abandoned. The sun sets, and the mountain burns. The road will be burned. The people will die."
science-fiction,It's okay to cry,Afghanistan,Samiullah,Maryam Bibi,"Samiullah is a refugee in a remote village in eastern Afghanistan. He lives with his wife Maryam in a one-room house with a mud floor, no electricity, no running water, a tin water tank and a stove. Maryam is a housekeeper, Sami an illiterate farmer. They both work in the same fields, growing wheat. Both are married and have one child.",It is the night of Sami's wedding.
cthulhu,The End of All Things,Fulford County,John B. Smith,Mary Smith,"The end of all things, or ""The Great Unquiet."" It was an age of great unrest, when strange forces had begun to stir, the world was at war with itself. And now a terrible force had risen to destroy.
Mary Smith had come to the area to look for John, but she had found a creature of the wilds, and she was going to kill it.",The final act of the book is to close with Mary and John and the rest of the children in a graveyard.
fiction,The first time she saw her was the second time she heard it. ,Majuro,Naoi,Sue,"Sue, the girl who was always by Nao in her childhood, had grown up to be the strongest of the Four Heavenly Kings and the leader of the royal guards. But she didn't care for the throne and was always lonely, so she decided to leave Majuro and live somewhere where no one would notice her. One day she was on a bus on the way to the city of Urayama where she lived.",It wasn't long after that. The bus came to a stop. 
the book of job,"In the early part of the year, the ship is on a routine trip to the west coast.",Mack,Trevor Knight,Maeve,"When the captain finds out about his brother's infidelity, he asks him to stay on the ship as his personal guard. Maeve is not interested in staying, but she feels she has to because of Trevor's relationship with Mack and her fear that he might return home and hurt her, as well as possibly her father and brother.
""On the first night of the cruise, as they're about to dock, they're both arrested.","Maeve and Trevor are in the back of a police car, and the car pulls up beside them."
the great american novel,No one is safe from the government,Dalmani,Juan Diaz,Dalmena,"Juan Diaz and his brother Dalmenas were two ordinary workers in the city of Dalmana, but their lives changed the day they were kidnapped by the government. The kidnapping was a government experiment in controlling people with their minds, and it is now known as the experiment of the century."" The government used the Dalmanis as guinea pigs, testing a new form of mental manipulation called ""the brainwashing technique"" on the pair.",Juan Diaz and Dalmena's lives are never the same. The two brothers are torn apart by the memories of their kidnapping. The day they are found by their family is the day their lives are forever changed.
novel for kids,The girl who loves the sun.,North Georgia,John Smith,Hannah Jones,"In the middle of the night a loud noise awoke John Smith from his sleep. It was the sound of an animal. The animal that woke him was a large cat, the size of a dog. He ran into the house and found that Hannah was nowhere to be found. He went into the hallway where he found a large, dark spot. He looked closer and realized that it was a hole in the wall.","The boy in the hole was a big guy, but he was also a boy. He was wearing a black suit with a green tie and he was holding a green umbrella. "
mystery,What does that mean?,Kathmandu,Ivan,Chhavi,"They found a box. Inside the box was a woman named Chhavika. She said she was the mother of a very important girl, who was a spy for the Soviets. Her name is Mira. When the Soviets find out what she is, they have Mira killed. They then take her box and have Ivan, Mira's daughter, kidnap her. After he has the box, he puts it on the floor and opens it up.","Ivan is a very good fighter, but it is impossible to get inside the box."
novel for kids,It's a bright day.,Spain,Adolf Hitler,Luisa,"It was a bright, warm summer day in Spain. Adolf Hitler was sitting outside his favorite spot in the country, gazing out over the mountains and hills. Luisa was at his side, holding a basket of strawberries. She told him that if he wanted to know the future, he had to be brave enough to live it. She asked if he thought he would ever become president.","The President of Germany died in the summer of 1945, surrounded by his friends and family. After the war, Adolf Hitler lived in exile and died in his apartment in the Führerbunker, surrounded in a glass box."
mystery,The world of the imagination is the world of fantasy.,New York City,John Smith,Mary Anne,"Mary Anne and John Smith, the son and mother of an elderly New Yorker in the 1890's, have an uncanny encounter with a ghostly woman who makes her way to a secret cellar where they are trapped until they are discovered and saved by a mysterious and beautiful girl who has the ability to see into the past. The two discover that the woman is a witch and the pair set out to learn more about her.","There were times when it didn't feel like a novel at all; a collection of stories, not a novel."
thrillers,"What can a man do, when he has nothing to gain, and everything to lose?",King County,John Smith,Bella C,"He had not seen his son John since he was four years old. When John first showed up at the school, Bella was afraid to tell him where he lived. She said that he would just be angry, but when she tried to explain that she didn't know, he became more insistent, insisting that he knew where he was. It was hard for him to accept that his father was no longer with him.",They both knew he would not survive the night. And so they left together.
aeroplane,Aircraft are the most efficient forms of mass transport available in the 21st century,Fayette County,James Dean,Jane,"In the early 1950s, in the small town of Fayette, West Virginia, James Dean was living with Jane, his beautiful, troubled wife, and their three young children. Jane was a troubled person, who was in fact suffering from bipolar disorder. She would get mad at anyone and everything and would spend the next two decades in and out of psychiatric hospitals.","In the late summer of 1957, at the height of their relationship, the Dean family took off to fly across the country and see the world"
fantasy,He's so hot and bothered!,South Sudan,Mason Davis,Aisha,"Mason Davis is a young boy in South Africa who dreams of flying through the air on a dragon-powered air scooter. But when a plane crash lands in the middle of a war, the boy's world takes an unexpected turn. The crash is the final straw, and a series of strange events leads Mason to the realization that he is, in fact, in love with Aisha.","The last thing he wanted to do was break up with her. That just wouldn't do. But the more time he spent with her, the more he realized that it was the only way to be with her."
erotica,"The man is a master at manipulating his environment, but in his case, his environment is his own body.",Londraal,Gareth,Londra,"Londra was in a hurry to get somewhere. She knew it was a bad idea to stop and wait. But in her mind, she was already in the right place. She had just entered the inn with Gareth, and he was sitting on the edge of the bed. He was watching her through the peephole, but she had just caught sight of herself in the mirror. She looked at him, her eyes wide and wide open.",The way she looked at the mirror in the reflection made him shiver.
fiction,"Writing is a skill, so don't be a douchebag.",North Georgia,John Smith,Hannah Jones,"It had been a month since John had last seen Hannah, but she'd still been calling him incessantly. And he'd been busy; he was writing a novel. So he decided that he would come home after a long day at work and help her. But then he discovered that her new boyfriend had been stalking her online and he didn't know what to think.","John and Hannah are married, and John has a new baby."
novel for kids,The world was beautiful and the animals and plants were so peaceful.,Germany,Boris Schick,Catherine,"Boris and Catherine travel to Germany in a bid to locate their brother, who has gone missing. With no information or clues as to where he is, they begin to wonder whether the search is really for him, or just a ruse to gain entry into the home of the mysterious woman. With the help of their best friend and a local German shepherd, they try to keep their heads down and work together to find the answers.","Catherine is a very good girl, but she is afraid to do anything. She always goes along with Boris, who seems to be very caring and caring for everyone around him."
fantasy,The hero has a secret. He's a wizard. He has to do this.,Palo Alto,Benjamin K,Alice,"Benjamin K. had been the hero of the past five adventures in Palo Altan. He had defeated the Dragon-king and the Evil Wizard King. But the last time, it had been Alice. And in the battle that followed, it was Ben who was wounded. And Alice who was hurt. But Ben was not wounded. In fact, in the last battle, he had become the only thing left alive in the fight, the only one left that could be called a hero.","And then he had a secret, and it was magic,"
cthulhu,It can't be done,Fayette County,William Treadwell,Jane,"In the late winter of 1842, William Treadingwell and his sister Jane had come to Fayette, Kentucky, to live with their aunt, Mrs. Daffodil, a white, old woman with a thick accent and a great deal of energy. Mrs. Treading, as the family called her, was a shrewd, strong, hard-working woman who was determined to give the children a proper education.","After the storm, William and Jane went into the kitchen for supper and were surprised to find that they had not had any. Their mother looked over her shoulder as they were talking, and when she finished the words, "
aeroplane,He got down and was standing by the door.,Fayette County,John Smith,Karen,"The Smiths and Karen's new son, John, are going to be a new couple. Karen has recently been diagnosed with breast cancer and is on chemo. John has a wife and three kids and is getting older and more senile. It is going to take all the strength he has to carry on the family life of their family. As a couple they want the most out of life and they are very good at doing so.","The Smiths' new family had a hard time. Karen and John lost the house and the kids were thrown out of their school, their apartment and even their church."
thrillers,The only person who could have stopped him was the girl with the blue dress.,Detroit,Joe,Kendra,"Joe and Kendral have become inseparable since the tragic incident, but that is about to change as Kendra's father, the mayor of Detroit, has decided to run for re-election. The city is on the verge of economic collapse and Joe is on a quest to get revenge for killing his former partner. However, Joe doesn't want to kill Kendra. He wants her to be the one who stops him and she refuses.","The end of the book is very different from the beginning,"
thrillers,The only person who could have stopped him was the girl with the blue dress.,Boulder,John Smith,Molly,"John Smith and his girlfriend, Molly, had a long love affair. Their affair had ended tragically. When John finds out about his daughter's death in a train accident, he starts searching for the person responsible.
""Molly is trying to forget the past and move on. However, a series of strange events start to plague her. And it's up to her former boyfriend to help her through them.","John Smith and a group of friends go to the park. During the day, John and his friends enjoy a quiet day at the park in the sun. However at night, John is haunted by memories and a dark presence in the park."
bodyscapes,Don't try to draw a straight line.,King County,Toby,Sandra Dukes,"Toby Dukes, a former member of the US Air Force, and a former student of Sandra Duke, who was a well-known artist, became engaged a year ago. She had her eyes set on him, but he had his sights on her. The two of them have been engaged in an open and passionate relationship since then, which they finally consummated when the couple celebrated their sixth anniversary last December.","The first step in the right direction is a commitment,"
biblical epic,What was it like?,Afghanistan,Ramiro Sanchez,Poona,"In a village in northern Afghanistan, the Poonans take a family hostage while searching for the missing Ramiros, who had been abducted by terrorists. After learning the terrorists have a daughter, Poonia, the two go to rescue her. Meanwhile, Ramirov is trying to help a boy, Sami, who is being kidnapped by an armed group. The two friends are caught in the crossfire between the terrorists and the villagers.","It was a dark night, a stormy night,"
cthulhu,It can't be done,South Sudan,John H. Roberts,Aisha,"In the heart of the African bush, in the midst of the ruins of an ancient town, is a man called John H Roberts. He has a wife and a son, and is a member of a secret society, which worships a great and mysterious being. His son, Aisha, is an exceptional athlete who is an avid reader. They are two of the best athletes in South-West Africa.","It is the first of a series of battles for the future of Africa,"
empathy,"There is nothing more important than being true to yourself, no matter what others may think.",Belfast,Theodore Roosevelt,Cheryl,"Theodore Roosevelt and his new bride, the actress Cheryl Tiegs, were both born in New York City and had lived there until their wedding. The newlyweds had just celebrated their twenty-fifth wedding anniversary, when they were both invited to attend an awards ceremony. As they walked into the auditorium, Theodore noticed a young boy in the crowd who was wearing a bright red tie. He introduced himself as Teddy.","Theodore and Cheryl have been married for twenty-five years. Their lives have gone in many directions, but they are still together."
novel for kids,"A novel for children, with illustrations that are either realistic or imaginative,",Bristol,John Smith,Molly,"In a rural town in the English countryside, John Smith lives a simple life until one day he meets a girl who is very similar to Molly and becomes attached to her. However, a sudden storm causes the couple to be separated. It soon becomes clear that the storm and John's feelings for Molly are connected, so he decides to go on a trip to try to find her. Meanwhile, Molly is determined to find John and stop him from hurting her family.","A sequel to the book, written by author Stephenie Meister with illustrations by Joanna Morris and illustrated by John W. Robinson."
science-fiction,It's okay to cry,Spain,Adolf Hitler,Diana Sanchez,"It takes place in the year 1945, and the future has changed dramatically, both literally and metaphorically. In Spain, the Nazis have conquered the country, and have taken over the leadership of the fascist regime. But they have a new ally; in the form of Diana Sanchez, the Spanish Nazi. Now, she has become the leader of an organization called the Fascist Guard."" They are a Nazi terrorist organization that uses Hitler's image as an iconic symbol of all things German.","As the Fists of the Right are being beaten back by the Fascists, Diana Sanchez stands up and declares, "
cinema,"The Doctor must leave London and take on a new companion, but the time is right.",Ireland,Samuel,The White Queen,"A young man in a red coat is trying to stop a mysterious force that is destroying the world and everyone in it. ""The young man is Samuel, a young man with a very special gift and a very dangerous mission in front of him. He's going to do it all, but his powers aren't going to work all at once.""
The first thing to note is that the synopsis reads like something written by someone who is not a fan of Doctor Who.","The old woman, the White Queen, is about to get what she needs, and it's going straight to the Doctor's head! It's all a trap."
fiction,They said the people were on their way.,California,Mark Pritchard,Cathy,"Mark and Cathy had come down from California to go camping in the woods of North Carolina. As they walked along the road, Cathy started to feel strange. Something was wrong. Mark asked her to sit down but she wouldn't sit down. Mark felt that something was wrong with her. A car pulled up beside them and they asked it for directions. The man got out of the car and started asking them about where they were going.","They all went their separate ways, never to be heard from again. The couple were never seen or heard from by any of their friends."
bodyscapes,What's the difference between a real-life monster and a cartoon monster?,North,John,Polly,"Polly was a bit of a weirdo. It was one of the many things John didn't really notice. She was really tall and had a bit more of a feminine look than John would've liked. She liked to talk a lot and was very intelligent, but she was also really moody and had this bit of an obsession with being an expert at drawing monsters.
She was also good at the art of the sword.",What would the world be like if all of its monsters lived happily ever after?
